Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[1; 3; 4; 5; 8; 6; 11; 13; 9; 15; 2; 10; 14; 7; 12], 19, 78912, 433416, 3885496, 25269634, 3964408, 25703050,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 13; 12; 6; 2; 9; 14; 7; 5; 15; 3; 11; 1; 8; 10], 20, 80153, 441363, 3824641, 25009269, 3904794, 25450632,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 7; 2; 1; 11; 9; 6; 15; 8; 10; 4; 12; 14; 13; 3], 15, 78365, 431264, 3633485, 23725459, 3711850, 24156723,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 12; 7; 1; 9; 14; 5; 13; 15; 11; 6; 2; 10; 3; 8], 18, 79188, 435070, 3714136, 24252839, 3793324, 24687909,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[12; 14; 5; 11; 15; 13; 9; 2; 10; 4; 1; 8; 3; 7; 6], 18, 77617, 425955, 3733938, 24315969, 3811555, 24741924,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 2; 7; 9; 1; 13; 12; 11; 6; 4; 8; 10; 14; 15; 3], 15, 76983, 422017, 3594962, 23494017, 3671945, 23916034,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 8; 1; 13; 12; 14; 7; 11; 15; 9; 6; 2; 10; 3; 4], 17, 77766, 426224, 3775279, 24613385, 3853045, 25039609,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[3; 5; 8; 1; 11; 12; 7; 10; 6; 4; 13; 9; 14; 2; 15], 19, 80098, 441104, 3805553, 24753230, 3885651, 25194334,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[12; 14; 1; 7; 6; 11; 2; 10; 13; 9; 4; 3; 15; 5; 8], 20, 79899, 439847, 3745763, 24430583, 3825662, 24870430,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 12; 2; 5; 9; 15; 1; 11; 13; 14; 3; 4; 10; 7; 6], 18, 79161, 435072, 3807684, 24837255, 3886845, 25272327,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[9; 8; 14; 4; 13; 6; 1; 5; 10; 11; 3; 15; 12; 7; 2], 17, 76253, 416370, 3776583, 24597950, 3852836, 25014320,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 1; 11; 10; 9; 8; 4; 7; 3; 12; 14; 5; 13; 15; 6], 18, 78191, 428810, 3688010, 24026428, 3766201, 24455238,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[15; 14; 10; 9; 3; 1; 5; 11; 2; 12; 8; 6; 7; 13; 4], 15, 78642, 433338, 3607901, 23608053, 3686543, 24041391,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 15; 10; 7; 2; 13; 11; 5; 14; 3; 1; 6; 4; 12; 9], 18, 78410, 431591, 3769544, 24541293, 3847954, 24972884,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 14; 15; 8; 5; 2; 7; 1; 10; 11; 3; 4; 12; 13; 9], 19, 78899, 435840, 3748998, 24425682, 3827897, 24861522,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 5; 12; 6; 10; 8; 15; 9; 1; 2; 14; 11; 13; 7; 3], 19, 79994, 440395, 3760216, 24532643, 3840210, 24973038,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 12; 13; 6; 5; 4; 7; 9; 10; 2; 3; 15; 8; 14; 1], 20, 80614, 444304, 3720322, 24243168, 3800936, 24687472,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[14; 9; 3; 10; 11; 2; 13; 1; 7; 8; 6; 5; 12; 15; 4], 19, 79902, 439653, 3911712, 25491717, 3991614, 25931370,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[14; 7; 3; 11; 9; 2; 8; 13; 15; 12; 5; 4; 10; 1; 6], 20, 80924, 446230, 3905840, 25485132, 3986764, 25931362,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[10; 13; 9; 11; 14; 3; 12; 1; 5; 4; 6; 7; 8; 15; 2], 17, 77456, 424104, 3730073, 24357060, 3807529, 24781164,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[13; 7; 11; 9; 2; 8; 3; 5; 10; 12; 1; 15; 4; 6; 14], 18, 78994, 435845, 3753150, 24474870, 3832144, 24910715,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[13; 9; 4; 3; 10; 7; 6; 15; 14; 11; 8; 5; 2; 12; 1], 17, 78471, 434425, 3603689, 23530733, 3682160, 23965158,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 6; 14; 15; 1; 4; 3; 2; 7; 9; 5; 10; 13; 12; 11], 19, 77913, 426885, 3698072, 24101508, 3775985, 24528393,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[3; 14; 8; 9; 6; 15; 1; 7; 4; 5; 10; 13; 2; 12; 11], 19, 79867, 439443, 3831764, 24937706, 3911631, 25377149,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 5; 15; 9; 14; 11; 7; 2; 3; 10; 4; 12; 8; 13; 6], 15, 77862, 426703, 3650650, 23815462, 3728512, 24242165,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 6; 13; 5; 8; 10; 11; 7; 15; 12; 14; 3; 1; 2; 9], 19, 79133, 434894, 3827640, 24974145, 3906773, 25409039,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[14; 9; 11; 1; 13; 6; 4; 3; 7; 5; 15; 10; 12; 8; 2], 17, 78707, 431997, 3740320, 24423357, 3819027, 24855354,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 5; 9; 15; 2; 13; 7; 12; 14; 11; 10; 3; 6; 8; 1], 17, 77807, 426212, 3718923, 24293425, 3796730, 24719637,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[12; 2; 9; 11; 10; 4; 14; 3; 5; 15; 1; 13; 6; 8; 7], 18, 78801, 432652, 3665988, 23921459, 3744789, 24354111,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 14; 7; 6; 11; 4; 12; 3; 10; 15; 13; 5; 9; 2; 8], 20, 79868, 439625, 3781718, 24713195, 3861586, 25152820,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[14; 10; 6; 4; 15; 12; 3; 1; 5; 2; 11; 8; 9; 7; 13], 18, 78900, 433463, 3738536, 24396068, 3817436, 24829531,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 2; 1; 14; 8; 10; 15; 13; 7; 9; 3; 4; 11; 12; 5], 20, 79793, 439160, 3833445, 24998938, 3913238, 25438098,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[10; 2; 6; 11; 9; 8; 15; 5; 14; 12; 1; 3; 7; 13; 4], 18, 79257, 437066, 3657743, 23872127, 3737000, 24309193,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[3; 12; 13; 14; 2; 8; 4; 15; 9; 6; 1; 11; 7; 10; 5], 19, 81079, 447291, 3824207, 24892605, 3905286, 25339896,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 3; 14; 8; 10; 5; 15; 11; 4; 6; 13; 12; 9; 1; 7], 20, 80950, 446428, 4015621, 26181739, 4096571, 26628167,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 5; 7; 13; 2; 12; 11; 10; 15; 6; 14; 8; 3; 1; 9], 17, 78290, 429483, 3677280, 23980440, 3755570, 24409923,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 2; 9; 7; 6; 1; 5; 12; 15; 14; 8; 10; 13; 3; 11], 18, 80337, 442294, 3748730, 24440045, 3829067, 24882339,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[10; 1; 2; 4; 14; 15; 5; 3; 13; 9; 8; 12; 7; 11; 6], 18, 79735, 439911, 3766022, 24564121, 3845757, 25004032,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[9; 14; 7; 3; 8; 4; 13; 12; 1; 2; 6; 5; 10; 11; 15], 20, 80345, 442383, 3979070, 25941991, 4059415, 26384374,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 9; 3; 14; 4; 11; 13; 6; 2; 10; 12; 5; 1; 15; 7], 17, 77099, 423163, 3749850, 24450533, 3826949, 24873696,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 5; 2; 15; 1; 4; 3; 13; 10; 12; 9; 7; 14; 11; 6], 17, 78190, 429858, 3755700, 24460626, 3833890, 24890484,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[10; 8; 14; 1; 13; 6; 7; 5; 15; 2; 12; 11; 3; 9; 4], 20, 79313, 435994, 3850423, 25152229, 3929736, 25588223,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 14; 7; 2; 10; 5; 12; 11; 9; 3; 6; 8; 15; 13; 4], 16, 78053, 429236, 3638027, 23784605, 3716080, 24213841,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 3; 7; 10; 1; 5; 15; 12; 6; 8; 9; 13; 2; 14; 4], 18, 77352, 424904, 3731861, 24304769, 3809213, 24729673,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 5; 9; 11; 7; 12; 6; 13; 15; 2; 14; 10; 1; 8; 3], 17, 78641, 431631, 3756116, 24462262, 3834757, 24893893,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[15; 14; 6; 12; 8; 1; 9; 13; 5; 3; 4; 2; 10; 7; 11], 19, 79173, 435133, 3732905, 24344514, 3812078, 24779647,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
